ZIP CODE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
California Resident,752,888,913,984,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
Out of State,1,1,1,1,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
Blank/Invalid,0,1,0,0,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
California Resident,932,949,898,896,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Out of State,1,3,0,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Unknown,2,3,3,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
California Resident,3507,3858,3705,3477,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Out of State,13,20,20,16,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Unknown,47,57,54,45,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
California Resident,480,612,529,505,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Out of State,0,0,1,2,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Unknown,0,1,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
California Resident,271,284,237,279,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Out of State,0,3,3,0,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
California Resident,1456,1591,1541,1700,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Out of State,5,4,2,7,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Unknown,4,0,1,1,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Blank/Invalid,0,1,1,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
California Resident,2590,2934,2673,2523,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Out of State,4,1,0,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Unknown,35,58,49,44,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
California Resident,315,202,211,177,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
California Resident,1407,1202,1132,1155,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Out of State,1,2,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Unknown,3,6,1,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
California Resident,298,273,265,282,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Out of State,0,1,1,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Unknown,2,4,0,2,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
California Resident,59,59,44,75,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Unknown,0,1,0,1,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
