ETHNICITY,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Hispanic or Latino,187,307,365,412,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,566,583,549,573,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
Hispanic or Latino,240,217,204,232,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,687,732,689,655,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Unknown,8,6,8,11,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Hispanic or Latino,1403,1519,1569,1403,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2134,2369,2173,2104,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Not Provided/Blank,0,0,0,1,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Unknown,30,47,37,30,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Hispanic or Latino,53,90,79,77,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,402,500,434,414,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Unknown,25,23,17,16,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Hispanic or Latino,223,225,198,221,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,47,59,39,54,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Unknown,1,3,3,4,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Hispanic or Latino,314,391,383,421,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1137,1189,1141,1261,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Not Provided/Blank,0,0,2,1,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
