PREFERRED LANGUAGE SPOKEN,PREFERRED LANGUAGE SPOKEN_1,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
CHI,Chinese,6,2,4,3,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
ENG,English,602,675,680,773,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
SPA,Spanish,145,213,230,209,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
ENG,English,805,834,768,770,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
PES,Farsi,1,1,1,3,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
HMN,Hmong,5,6,3,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
,Not Provided/Blank,0,0,1,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
PAN,Panjabi; Punjabi,31,28,32,34,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
SPA,Spanish,93,84,89,85,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
TON,Tonga,0,0,2,0,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
UKR,Ukrainian,0,0,0,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
VIE,Vietnamese,0,0,0,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
999,Unknown,0,2,5,2,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
ARA,Arabic,3,2,7,4,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
CHI,Chinese,2,1,2,2,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
ENG,English,3040,3374,3153,2992,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
FIL,Filipino,1,0,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
GRE,Greek,1,0,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
HIN,Hindi,3,1,0,1,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
ILO,Ilocano; Iloko,0,1,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
ITA,Italian,0,0,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
JPN,Japanese,0,0,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
KOR,Korean,2,6,4,2,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
LAO,Lao,0,1,0,1,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
CMN,Mandarin,0,0,0,1,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
,Not Provided/Blank,0,1,0,2,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
PAN,Panjabi; Punjabi,22,21,14,30,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
POR,Portuguese,0,0,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
RUS,Russian,0,1,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
SMO,Samoan,0,0,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
SGN,Sign Language,2,2,1,3,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
SPA,Spanish,481,519,578,488,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
TGL,Tagalog,3,4,3,5,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
UKR,Ukrainian,0,0,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
VIE,Vietnamese,6,0,4,1,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
999,Unknown,1,1,8,6,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
ARA,Arabic,2,0,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
DAN,Danish,0,1,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
ENG,English,450,561,495,468,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
PAN,Panjabi; Punjabi,0,0,1,0,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
SGN,Sign Language,1,0,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
SPA,Spanish,26,48,34,37,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
999,Unknown,1,3,0,2,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
ARA,Arabic,0,1,0,0,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
ENG,English,143,166,120,141,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
FIL,Filipino,0,1,1,0,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
PAN,Panjabi; Punjabi,1,1,1,0,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
POR,Portuguese,0,0,0,1,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
SPA,Spanish,126,118,118,136,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
