DISPOSITION,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Discharged to home or self care (routine discharge),753,890,914,985,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
Discharged to home or self care (routine discharge),917,926,886,879,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,0,0,2,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,1,0,2,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,2,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,0,2,2,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,7,6,4,6,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,9,17,5,6,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Error/Unknown,0,1,0,0,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Other,0,2,2,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Discharged home with hospice care,0,1,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Discharged to home or self care (routine discharge),3218,3601,3506,3280,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,1,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,0,2,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,3,5,6,4,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,308,288,235,221,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,19,22,19,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,6,2,5,10,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Error/Unknown,0,5,0,7,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Expired,0,0,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Other,11,10,3,16,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Discharged home with hospice care,0,1,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Discharged to home or self care (routine discharge),478,606,528,506,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,1,1,0,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
