EXPECTED PAYER SOURCE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Blue Cross/Blue Shield,261,348,340,360,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
CHAMPUS (TRICARE),2,2,1,4,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
Health Maintenance Organization,45,63,66,67,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
Medicaid (Medi-Cal),200,201,202,236,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
Medicare Part B,188,198,215,212,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
Preferred Provider Organization (PPO),57,78,90,105,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
Other Non-federal programs,0,0,0,1,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
Automobile Medical,0,1,0,0,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
CHAMPUS (TRICARE),10,4,4,12,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Commercial Insurance Company,6,6,10,3,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Health Maintenance Organization,3,0,0,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,69,76,69,75,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Medicaid (Medi-Cal),317,313,278,291,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Medicare Part B,337,365,340,345,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Preferred Provider Organization (PPO),181,173,181,167,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Self Pay,1,2,3,0,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Title V,0,1,0,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Veterans Affairs Plan,7,7,10,2,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Workers' Compensation Health Claim,2,3,4,0,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Other federal program,2,2,1,0,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
Other Non-federal programs,0,2,1,1,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
CHAMPUS (TRICARE),9,4,9,9,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Commercial Insurance Company,30,43,36,37,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Error/Unknown,0,1,0,1,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Exclusive Provider Organization (EPO),3,6,3,2,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Health Maintenance Organization,440,486,378,385,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,677,653,676,577,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Medicaid (Medi-Cal),551,658,688,665,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Medicare Part B,729,821,786,730,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Preferred Provider Organization (PPO),575,700,716,660,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Self Pay,5,6,1,3,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Title V,3,0,0,3,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Veterans Affairs Plan,42,34,38,46,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Workers' Compensation Health Claim,55,67,82,67,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Other,26,28,13,31,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Other federal program,7,5,2,2,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
Other Non-federal programs,415,423,351,320,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
CHAMPUS (TRICARE),2,1,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Commercial Insurance Company,3,5,4,9,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Health Maintenance Organization,4,13,7,5,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,35,57,33,25,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Medicaid (Medi-Cal),151,189,178,161,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Medicare Part B,156,214,182,172,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Preferred Provider Organization (PPO),113,108,111,116,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Self Pay,0,0,1,0,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Title V,1,1,0,1,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Veterans Affairs Plan,15,24,14,18,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Other federal program,0,1,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
CHAMPUS (TRICARE),1,1,1,3,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Commercial Insurance Company,1,1,1,5,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Error/Unknown,2,0,0,1,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Health Maintenance Organization,2,7,2,7,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,40,17,17,7,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Medicaid (Medi-Cal),156,173,143,185,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Medicare Part B,32,32,40,37,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Preferred Provider Organization (PPO),28,43,29,30,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Self Pay,0,1,0,0,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Workers' Compensation Health Claim,0,0,0,1,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
