Facility Address,CITY,ZIP,County,License Category,Status,Status Date,Facility,Report
386 W OLIVE AVE,MERCED,95348,MERCED,SURGICAL CLINIC,OPEN,8-Dec-99,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
726 FOURTH ST,MARYSVILLE,95901,YUBA,GENERAL ACUTE CARE HOSPITAL,OPEN,5-Jun-46,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
2615 CHESTER AVENUE,BAKERSFIELD,93301,KERN,GENERAL ACUTE CARE HOSPITAL,OPEN,1-May-73,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
15630 18TH AVE,CLEARLAKE,95422,LAKE,GENERAL ACUTE CARE HOSPITAL,OPEN,18-Apr-68,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
1401 GARCES HIGHWAY,DELANO,93215,KERN,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-74,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
1509 WILSON TERRACE,GLENDALE,91206,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
115 MALL DRIVE,HANFORD,93230,KINGS,GENERAL ACUTE CARE HOSPITAL,OPEN,5-Dec-10,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
1 MARCELA DRIVE,WILLITS,95490,MENDOCINO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Nov-15,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
975 SOUTH FAIRMONT AVENUE,LODI,95240,SAN JOAQUIN,GENERAL ACUTE CARE HOSPITAL,OPEN,2-Apr-52,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
700 RIVER DRIVE,FORT BRAGG,95437,MENDOCINO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-71,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
372 WEST CYPRESS AVENUE,REEDLEY,93654,FRESNO,GENERAL ACUTE CARE HOSPITAL,OPEN,14-Apr-65,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
1010 MURRAY AVE,SAN LUIS OBISPO,93405,SAN LUIS OBISPO,GENERAL ACUTE CARE HOSPITAL,OPEN,7-Dec-59,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
2975 SYCAMORE DRIVE,SIMI VALLEY,93065,VENTURA,GENERAL ACUTE CARE HOSPITAL,OPEN,29-Jul-65,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
1000 GREENLEY RD,SONORA,95370,TUOLUMNE,GENERAL ACUTE CARE HOSPITAL,OPEN,14-Jan-04,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
10 WOODLAND RD.,ST. HELENA,94574,NAPA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
1100 MAGELLAN DRIVE,TEHACHAPI,93561,KERN,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Nov-18,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
275 HOSPITAL DRIVE,UKIAH,95482,MENDOCINO,GENERAL ACUTE CARE HOSPITAL,OPEN,3-Mar-80,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
1720 E. CESAR E. CHAVEZ AVENUE,LOS ANGELES,90033,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
309 WEST BEVERLY BOULEVARD,MONTEBELLO,90640,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,6-Sep-23,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
30260 RANCHO VIEJO RD,SAN JUAN CAPISTRANO,92675,ORANGE,SURGICAL CLINIC,OPEN,3-Apr-92,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
1111 WEST LA PALMA AVENUE,ANAHEIM,92801,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,18-Feb-58,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
1900 SULLIVAN AVENUE,DALY CITY,94015,SAN MATEO,GENERAL ACUTE CARE HOSPITAL,OPEN,12-Dec-65,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
2070 CLINTON AVE,ALAMEDA,94501,ALAMEDA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
2525 EYE ST,BAKERSFIELD,93301,KERN,SURGICAL CLINIC,CLOSED,8-Jan-25,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
350 HAWTHORNE AVENUE,OAKLAND,94609,ALAMEDA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
1025 SOUTH ANAHEIM BLVD.,ANAHEIM,92805,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,29-Dec-72,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
400 N. PEPPER AVENUE,COLTON,92324,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,30-Mar-99,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
420 34TH STREET,BAKERSFIELD,93301,KERN,GENERAL ACUTE CARE HOSPITAL,OPEN,27-Sep-56,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
1800 SPRING RIDGE DRIVE,SUSANVILLE,96130,LASSEN,GENERAL ACUTE CARE HOSPITAL,OPEN,23-Apr-03,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
2626 S MOONEY BLVD,VISALIA,93277,TULARE,SURGICAL CLINIC,OPEN,15-Jun-12,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,EL DORADO,GENERAL ACUTE CARE HOSPITAL,OPEN,21-Nov-63,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
1172 CADILLAC CT,MILPITAS,95035,SANTA CLARA,SURGICAL CLINIC,OPEN,12-Jan-10,BAY AREA DENTAL SURGERY CENTER #434211,Ambulatory Surgery
41870 GARSTIN DRIVE,BIG BEAR LAKE,92315,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,5-Jul-74,BEAR VALLEY COMMUNITY HOSPITAL #361110,Ambulatory Surgery
9231 W OLYMPIC BLVD,BEVERLY HILLS,90212,LOS ANGELES,SURGICAL CLINIC,OPEN,29-Jul-13,"BEVERLY HILLS INTEGRATED SURGICAL, INC. #197833",Ambulatory Surgery
1401 SOUTH GRAND AVENUE,LOS ANGELES,90015,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Ambulatory Surgery
601 DUBOCE AVENUE,SAN FRANCISCO,94117,SAN FRANCISCO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Ambulatory Surgery
3555 CESAR CHAVEZ STREET,SAN FRANCISCO,94110,SAN FRANCISCO,GENERAL ACUTE CARE HOSPITAL,OPEN,17-Aug-18,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Ambulatory Surgery
1101 VAN NESS AVENUE,SAN FRANCISCO,94109,SAN FRANCISCO,GENERAL ACUTE CARE HOSPITAL,OPEN,2-Mar-19,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Ambulatory Surgery
