Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
753,890,914,985,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
935,955,901,898,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
3567,3935,3779,3538,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
480,613,530,507,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
271,287,240,279,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
1465,1596,1545,1708,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
2629,2993,2722,2567,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
315,202,211,177,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
1411,1210,1133,1156,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
300,278,266,284,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
59,60,44,76,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
1182,1117,933,924,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
719,762,705,717,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
1768,1751,1699,1586,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
1311,1470,1458,1287,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
135,132,150,161,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
1432,1518,1420,1409,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
2620,2695,2709,2520,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
456,200,656,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
19,30,21,25,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
917,1012,903,876,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
595,679,646,652,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
420,406,195,184,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
358,318,398,307,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
533,498,499,319,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
1323,1447,1465,1498,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
110,179,125,145,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
785,830,780,829,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
2048,2212,2121,1990,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
124,121,102,126,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
161,144,119,87,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
818,873,819,900,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
372,372,373,356,BAY AREA DENTAL SURGERY CENTER #434211,Ambulatory Surgery
7,20,19,33,BEAR VALLEY COMMUNITY HOSPITAL #361110,Ambulatory Surgery
261,218,244,216,"BEVERLY HILLS INTEGRATED SURGICAL, INC. #197833",Ambulatory Surgery
1196,1167,1340,1186,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Ambulatory Surgery
834,865,862,909,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Ambulatory Surgery
464,448,457,481,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Ambulatory Surgery
2829,2928,3071,2976,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Ambulatory Surgery
749,825,818,775,CASA COLINA HOSPITAL #190137,Ambulatory Surgery
767,842,782,852,CEDARS-SINAI MARINA HOSPITAL #190500,Ambulatory Surgery
5053,5198,5303,5313,CEDARS-SINAI MEDICAL CENTER #190555,Ambulatory Surgery
96,103,96,118,CENTINELA HOSPITAL MEDICAL CENTER #190148,Ambulatory Surgery
281,331,371,338,CENTRAL CALIFORNIA DENTAL SURGERY CENTER #244030,Ambulatory Surgery
141,127,118,120,CHAPMAN GLOBAL MEDICAL CENTER #301140,Ambulatory Surgery
90,95,113,94,CHILDREN'S HOSPITAL AT MISSION #304113,Ambulatory Surgery
3546,3688,3928,3552,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Ambulatory Surgery
2915,2867,2806,2762,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Ambulatory Surgery
668,734,709,707,CHINESE HOSPITAL #382715,Ambulatory Surgery
139,166,164,144,CHINO VALLEY MEDICAL CENTER #361144,Ambulatory Surgery
2958,3771,3703,3725,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL #190176,Ambulatory Surgery
228,178,197,203,COAST PLAZA HOSPITAL #190766,Ambulatory Surgery
139,190,132,181,COLLEGE HOSPITAL COSTA MESA #301155,Ambulatory Surgery
212,260,166,97,COLLEGE MEDICAL CENTER #190587,Ambulatory Surgery
18,4,14,5,COLORADO RIVER MEDICAL CENTER #361458,Ambulatory Surgery
55,155,166,150,COLUSA MEDICAL CENTER #060870,Ambulatory Surgery
40,28,47,46,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Ambulatory Surgery
465,515,508,538,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Ambulatory Surgery
2541,2636,2409,2454,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
6337,6858,6636,6491,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
1106,1204,1227,1108,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
962,965,945,851,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
860,1004,1011,1171,DAMERON HOSPITAL #390846,Ambulatory Surgery
427,351,420,338,DELTA SURGICAL #394088,Ambulatory Surgery
1087,1272,1210,1047,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
421,455,473,485,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
31,31,25,17,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
1147,1151,1310,1356,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
514,518,557,460,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
3595,3954,3945,4284,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
1291,1313,1293,1332,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
327,324,345,346,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
42,30,46,46,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
652,752,759,721,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
6465,6677,6361,6384,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
4369,4335,4538,4760,EL CAMINO HEALTH #430763,Ambulatory Surgery
1075,1092,1000,986,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
905,879,880,833,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
593,605,631,614,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
1127,1321,1350,1347,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
1762,1815,1875,1805,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
26,18,27,12,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
4550,4916,5045,4978,ENLOE HEALTH #040962,Ambulatory Surgery
836,923,1031,1048,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
366,324,276,278,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
