AGE GROUPS,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
0 - 9,0,0,0,1,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
10--19,4,3,2,1,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
20 - 29,36,39,26,28,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
30 - 39,51,54,54,70,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
40 - 49,129,134,152,161,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
50 - 59,195,237,224,258,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
60 - 69,182,236,263,265,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
70 - 79,124,150,148,168,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
80 Years +,32,37,45,33,ADVANCED ENDOSCOPY CENTER #244032,Ambulatory Surgery
0 - 9,1,0,2,2,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
10--19,14,10,13,18,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
20 - 29,47,56,36,39,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
30 - 39,100,94,83,99,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
40 - 49,130,138,132,121,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
50 - 59,167,144,152,163,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
60 - 69,205,233,200,206,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
70 - 79,185,188,181,160,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
80 Years +,86,92,102,90,ADVENTIST HEALTH AND RIDEOUT #580996,Ambulatory Surgery
0 - 9,15,19,14,8,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
10--19,39,37,38,41,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
20 - 29,133,170,141,143,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
30 - 39,331,385,335,368,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
40 - 49,500,599,544,525,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
50 - 59,679,733,751,667,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
60 - 69,866,935,938,884,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
70 - 79,713,742,712,667,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
80 Years +,291,315,306,235,ADVENTIST HEALTH BAKERSFIELD #150788,Ambulatory Surgery
0 - 9,16,17,10,10,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
10--19,14,12,14,9,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
20 - 29,10,24,25,19,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
30 - 39,27,32,47,37,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
40 - 49,64,58,63,65,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
50 - 59,89,96,87,87,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
60 - 69,125,180,151,161,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
70 - 79,113,167,105,94,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
80 Years +,22,27,28,25,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
0 - 9,0,1,1,2,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
10--19,2,10,11,4,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
20 - 29,29,19,26,23,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
30 - 39,44,47,26,35,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
40 - 49,55,56,42,55,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
50 - 59,72,71,54,76,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
60 - 69,49,55,57,64,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
70 - 79,12,24,19,17,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
80 Years +,8,4,4,3,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
0 - 9,10,16,18,9,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
10--19,7,12,13,10,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
20 - 29,57,49,50,56,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
30 - 39,108,127,112,134,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
40 - 49,171,197,220,240,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
50 - 59,264,302,270,322,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
60 - 69,377,402,389,437,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
70 - 79,324,338,317,334,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
80 Years +,147,153,156,166,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Under 1 Year,1,1,0,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
0 - 9,17,19,25,16,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
10--19,42,35,40,35,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
20 - 29,182,214,179,176,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
30 - 39,345,399,321,358,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
40 - 49,497,615,545,521,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
50 - 59,662,673,693,581,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
60 - 69,545,620,562,552,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
70 - 79,260,299,282,258,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
80 Years +,78,118,75,70,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
0 - 9,2,0,1,1,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
10--19,7,7,3,7,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
20 - 29,7,4,5,5,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
30 - 39,18,15,16,10,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
40 - 49,26,24,23,23,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
50 - 59,55,37,41,35,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
60 - 69,89,51,44,32,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
70 - 79,88,47,64,51,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
80 Years +,23,17,14,13,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
0 - 9,21,17,17,10,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
10--19,23,22,16,16,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
20 - 29,62,51,58,48,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
30 - 39,125,121,115,128,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
40 - 49,163,169,172,165,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
50 - 59,264,221,208,190,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
60 - 69,367,294,273,287,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
70 - 79,276,221,201,241,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
80 Years +,110,94,73,71,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
10--19,0,2,2,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
20 - 29,4,1,2,2,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
30 - 39,6,7,13,8,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
40 - 49,15,18,12,14,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
50 - 59,32,28,23,38,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
60 - 69,77,64,72,76,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
70 - 79,135,125,110,115,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
80 Years +,31,33,32,31,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
10--19,2,1,1,0,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
20 - 29,10,9,8,11,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
30 - 39,19,21,13,25,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
40 - 49,18,15,11,21,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
50 - 59,6,9,6,10,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
60 - 69,3,4,2,7,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
70 - 79,1,1,3,2,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Under 1 Year,2,1,0,2,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
0 - 9,38,35,35,23,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
10--19,20,26,15,21,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
20 - 29,47,51,40,38,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
30 - 39,87,84,77,62,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
40 - 49,136,129,105,96,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
50 - 59,145,151,124,134,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
60 - 69,278,264,220,201,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
70 - 79,317,260,218,244,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
80 Years +,112,116,99,103,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Under 1 Year,0,1,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
10--19,8,6,4,1,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
20 - 29,31,34,34,22,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
30 - 39,43,33,47,24,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
40 - 49,105,92,89,75,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
50 - 59,132,153,135,124,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
60 - 69,192,185,182,246,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
70 - 79,144,170,151,164,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
80 Years +,64,88,63,61,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Under 1 Year,0,0,1,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
0 - 9,41,56,32,26,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
10--19,27,23,36,25,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
20 - 29,47,54,47,38,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
30 - 39,97,96,89,82,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
40 - 49,131,94,153,113,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
50 - 59,195,216,202,157,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
60 - 69,512,512,454,457,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
70 - 79,522,501,460,460,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
80 Years +,196,199,225,228,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
10--19,7,6,3,6,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
20 - 29,31,36,29,28,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
30 - 39,71,57,63,65,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
40 - 49,141,170,148,137,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
50 - 59,241,248,247,184,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
60 - 69,326,405,375,347,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
70 - 79,344,368,423,378,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
80 Years +,150,180,170,142,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
10--19,4,2,0,3,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
20 - 29,4,3,5,5,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
30 - 39,6,10,14,16,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
40 - 49,16,24,26,25,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
50 - 59,34,27,30,27,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
60 - 69,37,36,41,50,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
70 - 79,27,24,31,30,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
80 Years +,7,6,3,5,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
0 - 9,4,1,2,1,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
10--19,14,11,11,10,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
20 - 29,36,32,25,36,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
30 - 39,91,100,90,100,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
40 - 49,179,191,184,184,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
50 - 59,214,269,232,252,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
60 - 69,395,383,356,354,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
70 - 79,373,410,390,349,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
80 Years +,126,121,130,123,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Under 1 Year,2,2,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
0 - 9,110,139,144,123,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
10--19,141,161,162,165,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
20 - 29,211,210,226,188,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
30 - 39,257,274,286,270,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
40 - 49,290,287,367,383,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
50 - 59,652,643,593,515,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
60 - 69,567,578,553,515,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
70 - 79,293,305,282,261,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
80 Years +,97,96,96,100,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
10--19,20,13,33,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
20 - 29,35,36,71,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
30 - 39,37,32,69,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
40 - 49,66,18,84,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
50 - 59,68,27,95,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
60 - 69,74,44,118,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
70 - 79,77,21,98,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
80 Years +,79,9,88,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Under 1 Year,0,0,1,0,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
10--19,0,0,2,0,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
20 - 29,2,7,1,1,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
30 - 39,4,6,5,5,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
40 - 49,5,6,6,10,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
50 - 59,6,7,4,5,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
60 - 69,2,4,2,4,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
10--19,1,3,4,3,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
20 - 29,25,25,32,39,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
30 - 39,51,77,53,68,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
40 - 49,108,148,122,124,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
50 - 59,283,276,224,232,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
60 - 69,243,239,245,213,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
70 - 79,135,167,149,123,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
80 Years +,71,77,74,74,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
10--19,5,7,2,1,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
20 - 29,36,20,25,15,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
30 - 39,29,22,24,29,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
40 - 49,28,24,30,30,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
50 - 59,51,61,55,66,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
60 - 69,155,177,183,179,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
70 - 79,204,266,225,264,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
80 Years +,87,102,102,68,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
10--19,1,3,0,0,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
20 - 29,20,16,1,4,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
30 - 39,37,37,12,13,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
40 - 49,71,61,46,30,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
50 - 59,76,94,56,55,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
60 - 69,117,108,54,49,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
70 - 79,79,76,19,22,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
80 Years +,19,11,7,11,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
10--19,4,3,7,2,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
