ZIP CODE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
California Resident,14967,15951,16139,15767,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Out of State,71,96,104,119,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Unknown,114,87,85,94,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Blank/Invalid,1,5,2,1,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
California Resident,15084,15318,15164,14946,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Out of State,69,70,66,82,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Does Not Reside in US,0,3,0,1,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Unknown,261,243,245,242,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Blank/Invalid,2,5,4,10,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
California Resident,4650,5117,4919,4515,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Out of State,28,45,30,18,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Does Not Reside in US,0,2,2,3,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Unknown,26,14,28,25,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Blank/Invalid,1,0,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
California Resident,6641,6809,6862,6791,ADVENTIST HEALTH DELANO #150706,Emergency Department
Out of State,10,15,18,29,ADVENTIST HEALTH DELANO #150706,Emergency Department
Does Not Reside in US,0,1,0,1,ADVENTIST HEALTH DELANO #150706,Emergency Department
Unknown,25,18,0,1,ADVENTIST HEALTH DELANO #150706,Emergency Department
Blank/Invalid,1,0,0,0,ADVENTIST HEALTH DELANO #150706,Emergency Department
California Resident,11230,12071,12259,12787,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Out of State,88,85,99,119,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Does Not Reside in US,0,2,0,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Unknown,86,121,98,67,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Blank/Invalid,8,9,7,6,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
California Resident,22709,23834,22893,22727,ADVENTIST HEALTH HANFORD #164029,Emergency Department
