ETHNICITY,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Hispanic or Latino,4600,5104,5082,4832,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Non Hispanic or Latino Ethnicity,10385,10834,11071,10967,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Not Provided/Blank,0,2,1,2,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Unknown,168,199,176,180,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Hispanic or Latino,7551,7807,7622,7549,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Non Hispanic or Latino Ethnicity,7633,7539,7611,7463,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Not Provided/Blank,0,1,2,4,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Unknown,232,292,244,265,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Hispanic or Latino,1060,1204,1067,1037,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Non Hispanic or Latino Ethnicity,3575,3906,3830,3439,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Unknown,70,68,82,85,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Hispanic or Latino,5647,5836,5851,5764,ADVENTIST HEALTH DELANO #150706,Emergency Department
Non Hispanic or Latino Ethnicity,977,957,969,993,ADVENTIST HEALTH DELANO #150706,Emergency Department
Not Provided/Blank,1,0,0,0,ADVENTIST HEALTH DELANO #150706,Emergency Department
Unknown,52,50,60,65,ADVENTIST HEALTH DELANO #150706,Emergency Department
Hispanic or Latino,3174,3397,3617,3693,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Non Hispanic or Latino Ethnicity,7963,8541,8612,8882,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Not Provided/Blank,2,0,0,3,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Unknown,273,350,234,402,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Hispanic or Latino,16465,17424,16526,16324,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Non Hispanic or Latino Ethnicity,6544,6656,6480,6431,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Unknown,393,449,475,531,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Hispanic or Latino,615,658,693,669,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Non Hispanic or Latino Ethnicity,2951,3023,2982,2856,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Unknown,42,63,46,55,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Hispanic or Latino,5230,5550,5132,5094,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Non Hispanic or Latino Ethnicity,8247,8271,8053,8181,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Not Provided/Blank,0,0,1,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Unknown,297,279,177,183,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Hispanic or Latino,341,439,420,374,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Non Hispanic or Latino Ethnicity,2149,2155,2414,2056,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Unknown,68,74,102,97,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Hispanic or Latino,7959,8639,8492,8250,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Non Hispanic or Latino Ethnicity,935,1044,1088,986,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Unknown,60,58,57,57,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Hispanic or Latino,1248,1181,1149,1112,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Non Hispanic or Latino Ethnicity,3720,3602,3592,3648,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Unknown,202,210,244,260,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Hispanic or Latino,3033,3273,3198,3644,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Non Hispanic or Latino Ethnicity,6244,6213,6283,6400,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Not Provided/Blank,3,2,0,5,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Unknown,547,479,321,401,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Hispanic or Latino,705,751,739,722,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Non Hispanic or Latino Ethnicity,6915,7468,7500,6973,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Not Provided/Blank,0,0,0,3,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Unknown,217,243,265,257,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Hispanic or Latino,470,536,499,482,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Non Hispanic or Latino Ethnicity,974,1140,1091,1069,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Unknown,48,30,44,20,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Hispanic or Latino,1431,1588,1554,1730,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Non Hispanic or Latino Ethnicity,3625,3880,3856,4094,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Not Provided/Blank,0,0,0,1,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Unknown,89,92,152,153,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Hispanic or Latino,5268,5661,5558,5520,ADVENTIST HEALTH TULARE #540816,Emergency Department
Non Hispanic or Latino Ethnicity,2374,2477,2502,2369,ADVENTIST HEALTH TULARE #540816,Emergency Department
Not Provided/Blank,0,2,5,2,ADVENTIST HEALTH TULARE #540816,Emergency Department
Unknown,94,124,82,223,ADVENTIST HEALTH TULARE #540816,Emergency Department
Hispanic or Latino,2174,2338,2268,2189,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Non Hispanic or Latino Ethnicity,4363,4649,4859,4773,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Unknown,288,373,196,147,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Hispanic or Latino,2343,2562,2368,2234,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Non Hispanic or Latino Ethnicity,5046,5080,5199,4887,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Unknown,177,236,231,192,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Hispanic or Latino,12403,12606,18475,19469,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Non Hispanic or Latino Ethnicity,987,1014,1704,1786,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Not Provided/Blank,1,0,10,9,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Unknown,31,57,93,99,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Hispanic or Latino,6546,6167,12713,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Non Hispanic or Latino Ethnicity,640,717,1357,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Unknown,37,66,103,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Hispanic or Latino,3741,4109,4343,4268,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Non Hispanic or Latino Ethnicity,2841,2770,2912,2946,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Not Provided/Blank,8,0,11,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
