PREFERRED LANGUAGE SPOKEN,PREFERRED LANGUAGE SPOKEN_1,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
AMH,Amharic,0,0,1,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
ARA,Arabic,1,1,1,3,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
ARM,Armenian,2,3,1,1,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
CHI,Chinese,1,1,0,1,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
ENG,English,13652,14283,14399,14235,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
PES,Farsi,32,39,52,54,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
GER,German,1,0,1,1,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
GRE,Greek,1,0,0,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
GUJ,Gujarati,0,0,0,1,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
HIN,Hindi,3,1,2,6,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
HMN,Hmong,29,31,28,24,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
JPN,Japanese,1,1,0,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
KOR,Korean,2,0,0,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
LAO,Lao,2,3,2,5,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
CMN,Mandarin,1,3,6,4,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
MKH,Mon-Khmer,1,2,1,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
NAV,Navajo,0,2,2,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
,Not Provided/Blank,2,2,5,2,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
PAN,Panjabi; Punjabi,276,371,398,344,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
PER,Persian,0,6,11,11,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
POR,Portuguese,0,0,0,4,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
RUM,Romanian,1,2,2,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
RUS,Russian,3,7,14,4,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
SMO,Samoan,1,2,2,3,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
SGN,Sign Language,21,20,28,24,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
SPA,Spanish,1074,1302,1323,1191,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
SWA,Swahili,0,1,0,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
TGL,Tagalog,6,6,1,1,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
THA,Thai,2,0,0,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
TON,Tonga,0,0,1,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
TUR,Turkish,1,1,1,2,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
UKR,Ukrainian,4,3,2,3,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
URD,Urdu,0,1,0,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
