DISPOSITION,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Discharged home with hospice care,4,1,4,3,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged to home or self care (routine discharge),13528,14526,14743,14594,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,6,9,5,9,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),7,2,0,1,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,2,1,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,194,177,173,136,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,247,239,267,288,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,2,2,1,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,16,20,22,10,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged/Transferred to Court/Law Enforcement,250,230,269,249,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,44,36,42,50,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,51,39,31,57,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Error/Unknown,18,38,37,37,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Expired,20,24,15,32,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Left against medical advice or discontinued care,765,791,716,509,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Other,3,3,3,5,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Discharged home with hospice care,25,19,25,23,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged to home or self care (routine discharge),14033,13997,13833,13722,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),0,0,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,1,1,5,3,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),8,6,4,3,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to a federal health care facility,0,1,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to a hospital-based Medicare approved swing bed,0,0,0,1,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),3,2,5,3,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,0,0,1,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,7,3,9,5,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,107,118,148,135,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,3,0,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,39,49,49,59,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,1,3,4,2,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to Court/Law Enforcement,347,388,405,392,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,37,58,55,66,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,136,149,202,171,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Error/Unknown,14,30,0,24,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Expired,24,15,21,25,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Left against medical advice or discontinued care,586,758,673,599,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Other,45,42,40,47,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Discharged to home or self care (routine discharge),4277,4739,4557,4190,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),0,0,2,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,9,9,13,21,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged/Transferred to a federal health care facility,0,0,0,1,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),3,1,0,1,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,40,30,32,35,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,256,257,266,232,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,3,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,1,2,1,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged/Transferred to Court/Law Enforcement,20,17,24,24,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,8,6,6,7,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,13,15,7,8,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Expired,9,9,7,10,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Left against medical advice or discontinued care,61,83,62,32,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Other,7,7,2,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Discharged home with hospice care,3,0,0,3,ADVENTIST HEALTH DELANO #150706,Emergency Department
Discharged to home or self care (routine discharge),6050,6094,6213,6192,ADVENTIST HEALTH DELANO #150706,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,2,2,0,1,ADVENTIST HEALTH DELANO #150706,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,2,2,2,ADVENTIST HEALTH DELANO #150706,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,8,8,10,3,ADVENTIST HEALTH DELANO #150706,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,200,223,215,184,ADVENTIST HEALTH DELANO #150706,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,4,0,1,ADVENTIST HEALTH DELANO #150706,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,1,0,0,2,ADVENTIST HEALTH DELANO #150706,Emergency Department
Discharged/Transferred to Court/Law Enforcement,197,217,196,201,ADVENTIST HEALTH DELANO #150706,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,10,9,8,9,ADVENTIST HEALTH DELANO #150706,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,32,40,35,43,ADVENTIST HEALTH DELANO #150706,Emergency Department
Expired,9,9,4,4,ADVENTIST HEALTH DELANO #150706,Emergency Department
Left against medical advice or discontinued care,132,208,174,162,ADVENTIST HEALTH DELANO #150706,Emergency Department
Other,30,27,23,15,ADVENTIST HEALTH DELANO #150706,Emergency Department
Discharged home with hospice care,2,1,2,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged to a medical facility with hospice care,0,0,0,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged to home or self care (routine discharge),10620,11245,11407,11812,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,7,13,8,15,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,6,2,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to a hospital-based Medicare approved swing bed,0,0,0,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,0,1,2,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,7,141,238,214,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,193,206,268,261,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,5,5,4,4,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,3,1,0,2,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to Court/Law Enforcement,10,22,12,8,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,47,51,52,54,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,120,111,123,120,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Error/Unknown,34,49,0,59,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Expired,14,14,11,12,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Left against medical advice or discontinued care,324,394,317,398,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Other,23,29,18,16,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Discharged home with hospice care,8,7,9,4,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged to home or self care (routine discharge),21827,22855,21941,21762,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,40,12,16,23,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged/Transferred to a hospital-based Medicare approved swing bed,0,0,0,1,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),7,1,4,2,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,98,122,104,99,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,312,298,302,322,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,3,3,0,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,4,10,5,4,ADVENTIST HEALTH HANFORD #164029,Emergency Department
