EXPECTED PAYER SOURCE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Automobile Medical,138,170,143,204,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
CHAMPUS (TRICARE),232,268,210,210,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Commercial Insurance Company,108,98,101,104,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Health Maintenance Organization,217,239,268,237,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,779,743,846,888,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Medicaid (Medi-Cal),8286,8754,9152,9124,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Medicare Part B,2207,2460,2409,2258,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Preferred Provider Organization (PPO),1587,1729,1794,1803,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Self Pay,877,910,736,557,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Title V,79,78,103,124,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Veterans Affairs Plan,172,181,160,89,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Workers' Compensation Health Claim,190,194,232,196,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Other,4,6,5,12,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Other federal program,14,12,10,18,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Other Non-federal programs,260,276,160,147,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Blank/Invalid,3,21,1,10,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Automobile Medical,80,57,61,73,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
CHAMPUS (TRICARE),20,22,28,39,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Commercial Insurance Company,72,71,101,92,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Exclusive Provider Organization (EPO),41,39,37,25,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
