Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
15153,16139,16330,15981,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
15416,15639,15479,15281,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
4705,5178,4979,4561,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
6677,6843,6880,6822,ADVENTIST HEALTH DELANO #150706,Emergency Department
11412,12288,12463,12980,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
23402,24529,23481,23286,ADVENTIST HEALTH HANFORD #164029,Emergency Department
3608,3744,3721,3580,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
13774,14100,13363,13459,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
2558,2668,2936,2527,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
8954,9741,9637,9293,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
5170,4993,4985,5020,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
9827,9967,9802,10450,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
7837,8462,8504,7955,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
1492,1706,1634,1571,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
5145,5560,5562,5978,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
7736,8264,8147,8114,ADVENTIST HEALTH TULARE #540816,Emergency Department
6825,7360,7323,7109,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
7566,7878,7798,7313,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
13422,13677,20282,21363,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
7223,6950,14173,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
6615,6937,7307,7307,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
3466,3374,3463,3320,AHMC SETON MEDICAL CENTER #410817,Emergency Department
4170,4208,4344,4151,ALAMEDA HOSPITAL #010735,Emergency Department
4118,4373,4274,4435,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
7665,7984,8420,8214,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
8394,8347,8265,8439,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
2906,3191,3113,3146,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
25340,26286,25612,25739,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
18662,19159,19420,18804,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
20776,21633,20807,20595,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
2801,2783,2852,2558,BANNER LASSEN MEDICAL CENTER #184008,Emergency Department
6716,7484,7288,7382,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
4742,4526,5053,4248,BARTON MEMORIAL HOSPITAL #090793,Emergency Department
3334,2643,2643,2759,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
15136,15961,16435,16027,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
2825,2766,2797,2818,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Emergency Department
4868,4802,5062,5096,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Emergency Department
7903,7913,8054,8707,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Emergency Department
8725,8797,8890,9039,CEDARS-SINAI MARINA HOSPITAL #190500,Emergency Department
13047,13798,14386,14787,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
8820,9342,9729,9661,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
1093,1162,1140,1115,CHAPMAN GLOBAL MEDICAL CENTER #301140,Emergency Department
2835,2801,2882,3331,CHILDREN'S HOSPITAL AT MISSION #304113,Emergency Department
19375,18910,17137,20216,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Emergency Department
26900,25335,22901,28452,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
1548,1615,1534,1605,CHINESE HOSPITAL #382715,Emergency Department
8752,8902,8987,8865,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
16091,17556,17834,17649,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
2111,2174,2140,2333,COAST PLAZA HOSPITAL #190766,Emergency Department
1342,1368,1417,1577,COLLEGE MEDICAL CENTER #190587,Emergency Department
1115,1163,1176,1122,COLORADO RIVER MEDICAL CENTER #361458,Emergency Department
1125,1436,1283,1294,COLUSA MEDICAL CENTER #060870,Emergency Department
7529,7886,7661,7764,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Emergency Department
13922,14532,14219,15247,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
11099,11238,11426,11520,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
2190,2289,2284,2237,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
12616,13050,12812,13091,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
20581,22051,22786,22274,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
9568,9992,9887,9279,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
11752,12163,12273,12631,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
8617,8759,8640,26016,DAMERON HOSPITAL #390846,Emergency Department
13745,13804,13063,13375,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
9878,10093,10261,10691,DESERT VALLEY HOSPITAL #364144,Emergency Department
6987,7485,6913,6862,DOCTORS HOSPITAL OF MANTECA #392287,Emergency Department
12372,12791,12792,13385,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
18914,19119,17413,17327,DOCTORS MEDICAL CENTER #500852,Emergency Department
10339,11196,11065,10775,DOMINICAN HOSPITAL #440755,Emergency Department
2400,2405,2648,2754,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
871,984,1128,905,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
17894,17081,16255,17742,EISENHOWER MEDICAL CENTER #331168,Emergency Department
16653,16981,15986,16187,EL CAMINO HEALTH #430763,Emergency Department
7617,7894,7837,8061,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
8608,8848,9046,9303,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
8045,8355,8432,9107,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
14151,14417,14351,15018,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
