SEX,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Error/Unknown,2,3,3,1,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Female,8305,8736,8955,8866,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Male,6845,7399,7371,7114,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Unknown,1,1,1,0,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Error/Unknown,1,1,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Female,8555,8569,8438,8241,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Male,6857,7066,7041,7039,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Unknown,3,3,0,1,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Female,2452,2710,2618,2406,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Male,2253,2468,2360,2155,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Unknown,0,0,1,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Error/Unknown,2,1,0,0,ADVENTIST HEALTH DELANO #150706,Emergency Department
Female,3567,3625,3732,3583,ADVENTIST HEALTH DELANO #150706,Emergency Department
Male,3108,3217,3148,3239,ADVENTIST HEALTH DELANO #150706,Emergency Department
Error/Unknown,4,0,0,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Female,6342,6898,6909,7239,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Male,5065,5390,5552,5741,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Unknown,1,0,2,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Error/Unknown,0,4,5,5,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Female,13119,13583,13040,12955,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Male,10282,10938,10434,10324,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Unknown,1,4,2,2,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Female,1923,1925,1932,1859,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Male,1685,1819,1789,1721,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Error/Unknown,0,0,1,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Female,7808,7972,7445,7625,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Male,5965,6128,5917,5834,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Unknown,1,0,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Female,1319,1405,1533,1373,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Male,1239,1263,1403,1154,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Error/Unknown,0,0,1,1,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Female,5148,5439,5401,5168,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Male,3806,4297,4233,4123,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Unknown,0,5,2,1,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Female,2730,2609,2685,2666,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Male,2440,2382,2300,2353,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Unknown,0,2,0,1,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Error/Unknown,3,1,4,2,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Female,5665,5658,5410,5834,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Male,4158,4308,4388,4614,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Unknown,1,0,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Error/Unknown,1,2,1,3,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Female,4196,4463,4464,4158,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Male,3639,3997,4037,3793,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Unknown,1,0,2,1,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Female,826,932,864,841,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Male,666,773,770,730,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Unknown,0,1,0,0,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Female,2777,2981,3032,3235,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Male,2368,2579,2530,2743,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Error/Unknown,0,0,3,2,ADVENTIST HEALTH TULARE #540816,Emergency Department
Female,4407,4653,4628,4647,ADVENTIST HEALTH TULARE #540816,Emergency Department
Male,3329,3611,3516,3465,ADVENTIST HEALTH TULARE #540816,Emergency Department
Female,3777,3989,4054,3976,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Male,3048,3368,3269,3133,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Unknown,0,3,0,0,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Female,4123,4326,4233,3933,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Male,3442,3551,3564,3379,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Unknown,1,1,1,1,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Error/Unknown,0,0,2,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Female,7565,7596,11350,11947,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Male,5857,6080,8928,9413,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Unknown,0,1,2,2,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Error/Unknown,0,1,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Female,3992,3832,7824,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Male,3231,3117,6348,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Female,3428,3748,3826,3857,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Male,3187,3188,3481,3450,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Unknown,0,1,0,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Female,1834,1753,1803,1726,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Male,1632,1621,1660,1594,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Error/Unknown,1,1,2,0,ALAMEDA HOSPITAL #010735,Emergency Department
Female,2318,2375,2467,2264,ALAMEDA HOSPITAL #010735,Emergency Department
Male,1847,1828,1872,1885,ALAMEDA HOSPITAL #010735,Emergency Department
Unknown,4,4,3,2,ALAMEDA HOSPITAL #010735,Emergency Department
Female,2308,2387,2366,2473,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Male,1810,1986,1908,1962,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Female,4194,4355,4535,4298,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Male,3471,3629,3885,3916,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Female,4765,4879,4697,4831,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Male,3629,3468,3568,3608,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Female,1371,1514,1584,1503,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Male,1535,1677,1529,1642,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Unknown,0,0,0,1,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Female,14098,14889,14472,14507,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Male,11239,11394,11140,11229,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Unknown,3,3,0,3,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Female,9355,9474,9593,9512,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Male,9306,9682,9825,9290,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Unknown,1,3,2,2,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Female,11745,12241,11794,11539,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Male,9031,9392,9013,9056,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Female,1475,1358,1446,1347,BANNER LASSEN MEDICAL CENTER #184008,Emergency Department
Male,1326,1425,1404,1210,BANNER LASSEN MEDICAL CENTER #184008,Emergency Department
Unknown,0,0,2,1,BANNER LASSEN MEDICAL CENTER #184008,Emergency Department
Female,3624,4200,4069,4085,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
Male,3092,3284,3217,3297,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
Unknown,0,0,2,0,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
Female,2304,2280,2496,2106,BARTON MEMORIAL HOSPITAL #090793,Emergency Department
Male,2438,2246,2552,2141,BARTON MEMORIAL HOSPITAL #090793,Emergency Department
Unknown,0,0,5,1,BARTON MEMORIAL HOSPITAL #090793,Emergency Department
Female,1486,1315,1336,1397,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
Male,1848,1328,1307,1362,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
Female,7698,8177,8467,8137,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
Male,7438,7784,7968,7889,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
Unknown,0,0,0,1,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
Female,1163,1170,1175,1201,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Emergency Department
Male,1662,1596,1622,1617,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Emergency Department
Female,2450,2424,2442,2468,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Emergency Department
Male,2418,2378,2620,2628,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Emergency Department
Female,3705,3845,3862,3996,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Emergency Department
Male,4198,4068,4192,4711,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Emergency Department
Female,4691,4837,4931,4968,CEDARS-SINAI MARINA HOSPITAL #190500,Emergency Department
Male,4030,3956,3956,4068,CEDARS-SINAI MARINA HOSPITAL #190500,Emergency Department
Unknown,4,4,3,3,CEDARS-SINAI MARINA HOSPITAL #190500,Emergency Department
Female,6862,7266,7625,7630,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
Male,6175,6532,6747,7143,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
Unknown,10,0,14,14,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
Female,4571,4846,5016,4929,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
Male,4248,4496,4712,4730,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
Unknown,1,0,1,2,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
Female,554,615,560,575,CHAPMAN GLOBAL MEDICAL CENTER #301140,Emergency Department
Male,539,547,580,540,CHAPMAN GLOBAL MEDICAL CENTER #301140,Emergency Department
Female,1294,1326,1259,1454,CHILDREN'S HOSPITAL AT MISSION #304113,Emergency Department
Male,1540,1475,1623,1875,CHILDREN'S HOSPITAL AT MISSION #304113,Emergency Department
Unknown,1,0,0,2,CHILDREN'S HOSPITAL AT MISSION #304113,Emergency Department
Female,9075,8764,7913,9301,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Emergency Department
Male,10298,10145,9221,10912,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Emergency Department
Unknown,2,1,3,3,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Emergency Department
Female,12682,11673,10611,13172,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
Male,14216,13656,12286,15269,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
Unknown,2,6,4,11,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
Female,784,857,802,819,CHINESE HOSPITAL #382715,Emergency Department
Male,764,758,732,785,CHINESE HOSPITAL #382715,Emergency Department
Unknown,0,0,0,1,CHINESE HOSPITAL #382715,Emergency Department
Female,4826,4848,4928,4862,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
Male,3925,4053,4059,4003,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
Unknown,1,1,0,0,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
Female,9595,10475,10667,10601,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
Male,6496,7077,7167,7048,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
Unknown,0,4,0,0,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
Female,1104,1166,1067,1201,COAST PLAZA HOSPITAL #190766,Emergency Department
Male,1007,1008,1073,1132,COAST PLAZA HOSPITAL #190766,Emergency Department
Female,575,560,645,660,COLLEGE MEDICAL CENTER #190587,Emergency Department
Male,767,807,772,917,COLLEGE MEDICAL CENTER #190587,Emergency Department
Unknown,0,1,0,0,COLLEGE MEDICAL CENTER #190587,Emergency Department
Female,580,634,663,589,COLORADO RIVER MEDICAL CENTER #361458,Emergency Department
Male,535,529,513,533,COLORADO RIVER MEDICAL CENTER #361458,Emergency Department
Female,615,746,641,696,COLUSA MEDICAL CENTER #060870,Emergency Department
Male,510,689,642,598,COLUSA MEDICAL CENTER #060870,Emergency Department
Unknown,0,1,0,0,COLUSA MEDICAL CENTER #060870,Emergency Department
Female,3960,4036,3983,4144,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Emergency Department
Male,3569,3850,3678,3620,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Emergency Department
Female,7831,8088,8066,8479,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
Male,6091,6443,6153,6768,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
Unknown,0,1,0,0,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
Female,6122,6203,6179,6299,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Male,4975,5032,5244,5216,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Not Provided/Blank,1,2,1,4,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Unknown,1,1,2,1,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Female,1166,1238,1213,1208,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
Male,1024,1051,1071,1029,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
Female,7251,7520,7513,7618,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
Male,5362,5524,5295,5470,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
Unknown,3,6,4,3,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
Female,10100,10739,10946,10737,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
Male,10481,11307,11840,11537,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
Unknown,0,5,0,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
Error/Unknown,4,1,0,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
Female,4858,5064,4834,4647,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
Male,4706,4927,5053,4632,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
Female,6394,6615,6769,6889,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
Male,5358,5548,5504,5742,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
Female,4805,5030,4926,14761,DAMERON HOSPITAL #390846,Emergency Department
Male,3812,3729,3714,11255,DAMERON HOSPITAL #390846,Emergency Department
Female,6949,6977,6756,6818,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
Male,6788,6827,6299,6546,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
Unknown,8,0,8,11,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
Female,5576,5783,5812,6019,DESERT VALLEY HOSPITAL #364144,Emergency Department
Male,4302,4310,4448,4672,DESERT VALLEY HOSPITAL #364144,Emergency Department
Unknown,0,0,1,0,DESERT VALLEY HOSPITAL #364144,Emergency Department
Female,3885,4119,3825,3812,DOCTORS HOSPITAL OF MANTECA #392287,Emergency Department
Male,3101,3365,3086,3049,DOCTORS HOSPITAL OF MANTECA #392287,Emergency Department
Unknown,1,1,2,1,DOCTORS HOSPITAL OF MANTECA #392287,Emergency Department
Female,6691,6851,6991,7306,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
