AGE GROUPS,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Under 1 Year,318,333,344,320,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
-,3,4,6,5,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
1--9,1525,1727,1376,1659,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
10--19,1523,1671,1628,1629,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
20 - 29,2123,2300,2416,2360,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
30 - 39,2586,2594,2929,2620,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
40 - 49,1922,2024,2090,1981,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
50 - 59,1729,1778,1804,1738,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
60 - 69,1588,1756,1775,1703,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
70 - 79,1007,1087,1107,1110,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
80 Years +,829,865,855,856,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
Under 1 Year,179,137,131,151,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
-,2,3,3,2,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
1--9,665,714,468,623,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
10--19,936,997,850,991,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
20 - 29,1993,2067,2002,1865,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
30 - 39,2600,2400,2443,2514,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
40 - 49,2227,2281,2238,2252,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
50 - 59,2070,2155,2256,2097,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
60 - 69,2211,2166,2249,2150,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
70 - 79,1464,1643,1673,1539,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
80 Years +,1069,1076,1166,1097,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Under 1 Year,77,73,70,78,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
1--9,465,594,420,442,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
10--19,452,488,462,455,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
20 - 29,550,609,580,530,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
30 - 39,624,673,702,645,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
40 - 49,548,612,587,484,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
50 - 59,545,639,601,494,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
60 - 69,648,705,699,647,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
70 - 79,488,502,567,515,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
80 Years +,308,283,291,271,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Under 1 Year,168,164,201,167,ADVENTIST HEALTH DELANO #150706,Emergency Department
1--9,1067,1024,917,1023,ADVENTIST HEALTH DELANO #150706,Emergency Department
10--19,956,965,1007,1033,ADVENTIST HEALTH DELANO #150706,Emergency Department
20 - 29,1066,1037,1154,1089,ADVENTIST HEALTH DELANO #150706,Emergency Department
30 - 39,974,1029,1007,1048,ADVENTIST HEALTH DELANO #150706,Emergency Department
40 - 49,820,794,842,786,ADVENTIST HEALTH DELANO #150706,Emergency Department
50 - 59,576,624,607,640,ADVENTIST HEALTH DELANO #150706,Emergency Department
60 - 69,514,617,557,518,ADVENTIST HEALTH DELANO #150706,Emergency Department
70 - 79,337,343,366,319,ADVENTIST HEALTH DELANO #150706,Emergency Department
80 Years +,199,246,222,199,ADVENTIST HEALTH DELANO #150706,Emergency Department
Under 1 Year,96,102,104,147,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
-,0,1,1,2,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
1--9,699,754,579,857,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
10--19,848,915,855,979,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
20 - 29,1479,1634,1705,1633,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
30 - 39,1837,2021,2093,2080,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
40 - 49,1500,1610,1711,1755,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
50 - 59,1451,1512,1516,1476,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
60 - 69,1468,1546,1670,1681,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
70 - 79,1166,1248,1229,1353,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
80 Years +,868,945,1000,1017,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Under 1 Year,581,466,416,429,ADVENTIST HEALTH HANFORD #164029,Emergency Department
-,0,2,0,2,ADVENTIST HEALTH HANFORD #164029,Emergency Department
1--9,3018,3042,2212,2720,ADVENTIST HEALTH HANFORD #164029,Emergency Department
10--19,3010,3185,2746,2910,ADVENTIST HEALTH HANFORD #164029,Emergency Department
20 - 29,3793,3956,4091,3990,ADVENTIST HEALTH HANFORD #164029,Emergency Department
30 - 39,3647,3767,3907,3608,ADVENTIST HEALTH HANFORD #164029,Emergency Department
40 - 49,2918,3072,2984,2966,ADVENTIST HEALTH HANFORD #164029,Emergency Department
50 - 59,2374,2662,2684,2426,ADVENTIST HEALTH HANFORD #164029,Emergency Department
60 - 69,2013,2168,2147,2047,ADVENTIST HEALTH HANFORD #164029,Emergency Department
70 - 79,1241,1312,1399,1298,ADVENTIST HEALTH HANFORD #164029,Emergency Department
80 Years +,807,897,895,890,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Under 1 Year,67,54,42,62,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
1--9,427,402,318,412,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
10--19,395,435,446,405,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
20 - 29,389,441,443,373,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
30 - 39,501,499,504,492,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
